# Mapa 12.
8,9

# Jugador
6,4,1,0,0,0,0 

# Paredes
0,2,4,0,0,0,0
0,3,4,0,0,0,0
0,4,4,0,0,0,0
0,5,4,0,0,0,0
1,1,4,0,0,0,0
1,2,4,0,0,0,0
1,5,4,0,0,0,0
1,6,4,0,0,0,0
1,7,4,0,0,0,0
2,0,4,0,0,0,0
2,1,4,0,0,0,0
2,7,4,0,0,0,0
3,0,4,0,0,0,0
3,7,4,0,0,0,0
3,8,4,0,0,0,0
4,0,4,0,0,0,0
4,8,4,0,0,0,0
5,0,4,0,0,0,0
5,1,4,0,0,0,0
5,4,4,0,0,0,0
5,8,4,0,0,0,0
6,1,4,0,0,0,0
6,7,4,0,0,0,0
6,8,4,0,0,0,0
7,1,4,0,0,0,0
7,2,4,0,0,0,0
7,3,4,0,0,0,0
7,4,4,0,0,0,0
7,5,4,0,0,0,0
7,6,4,0,0,0,0
7,7,4,0,0,0,0

# Cajas
3,2,2,0,255,255,255
3,4,2,0,255,255,255
3,6,2,0,255,255,255
4,3,2,0,255,255,255
4,5,2,0,255,255,255
5,2,2,0,255,255,255
5,6,2,0,255,255,255

# Celdas Destino
2,4,3,0,255,255,255
3,3,3,0,255,255,255
3,5,3,0,255,255,255
4,2,3,0,255,255,255
4,4,3,0,255,255,255
4,6,3,0,255,255,255
5,5,3,0,255,255,255

# Agujeros
